project_gid,name,phase,n_completed,span_days,bulk_completion_frac,project_reliable,first_completed,last_completed
1208014741125322,MSAN,Discovery,15,373.972,0.4667,True,2024-08-09T21:00:52.095000+00:00,2025-08-18T20:20:45.594000+00:00
1208014741125322,MSAN,Pre-Production,9,55.991,0.4444,True,2024-09-18T18:41:58.763000+00:00,2024-11-13T18:29:27.099000+00:00
1208878713359035,Calc I Summer Online,Discovery,7,21.702,0.2857,True,2025-01-19T20:18:35.105000+00:00,2025-02-10T13:09:52.680000+00:00
1208878713359035,Calc I Summer Online,QA & Launch,4,9.894,0.25,True,2025-06-29T18:31:04.514000+00:00,2025-07-09T15:57:56.759000+00:00
1207338575319394,ACE Ascent Phase III,Post-Production,8,56.09,0.5,True,2024-05-16T17:28:34.342000+00:00,2024-07-11T19:37:34.639000+00:00
1207338575319394,ACE Ascent Phase III,Production,12,59.866,0.3333,True,2024-05-16T17:28:29.724000+00:00,2024-07-15T14:15:35.986000+00:00
1209679644127773,Radio Systems Course,Design,6,9.897,0.3333,True,2025-06-30T19:02:54.775000+00:00,2025-07-10T16:34:03.533000+00:00
1210202036254651,Sprint 2025: Statistics Flipped Class,Design,9,90.124,0.2222,True,2025-05-16T14:07:08.842000+00:00,2025-08-14T17:05:43.342000+00:00
1210202036254651,Sprint 2025: Statistics Flipped Class,Discovery,3,33.194,0.3333,True,2025-05-15T19:10:42.894000+00:00,2025-06-17T23:50:03.320000+00:00
1210202036254651,Sprint 2025: Statistics Flipped Class,Evaluation,4,141.122,0.25,True,2025-08-14T17:05:33.003000+00:00,2026-01-02T20:00:35.897000+00:00
1210202036254651,Sprint 2025: Statistics Flipped Class,Pre-Production,6,40.846,0.5,True,2025-06-27T19:46:49.305000+00:00,2025-08-07T16:05:19.337000+00:00
1208031565604539,ACE Ascent Phase IV,Design,15,21.946,0.4,True,2024-08-15T19:05:57.271000+00:00,2024-09-06T17:48:29.406000+00:00
