project_gid,project_name,archived,created_at,start_on,due_on,owner,team,n_tasks,first_completed,last_completed,span_days_completed,span_days_start_due,cf::Progress,cf::Weekly Meeting Status,cf::Project Point Person,cf::Priority,cf::End Date,cf::Actual time rollup,cf::Project Type,cf::Started Range,cf::Post-Project Status,cf::Type of Project,cf::Credit Bearing?,cf::Faculty Members,cf::Estimated T-Shirt Size,cf::Actual T-Shirt Size,cf::Budget,cf::Project Members,cf::Learning Design Rank,cf::Media Ranking,cf::PM Ranking,cf::Academic Department,cf::Working Group Project Status,cf::ODL Project Status,cf::Launch Date,cf::Modality,cf::Platform,cf::XR Component,cf::External Partner(s),cf::Intended Audience,cf::Project Funding Source,cf::Future Iteration,cf::Current Phase,cf::Impact Tracker Status,cf::Estimated time,cf::Stage,cf::Academic Department / Institute,cf::# of Learning Design Responses,cf::# of Media Responses,cf::# of PM Responses,cf::Actual costs (total),cf::Actual time (total),cf::Estimated costs (total),cf::Estimated time (total),cf::NDL Project Status,cf::AMP | Proj. Date to Production,cf::AMP | Actual Date to Production,cf::AMP | Proj. Date to Printer,cf::AMP | Actual Date to Printer,cf::AMP | Proj. Delivery Date,cf::AMP | Actual Delivery Date,cf::Budgeted time,cf::Hi,cf::Custom Start Date
1208091175652557,Duplicate of ODL Evaluation Project,False,2024-08-19T20:24:59.863Z,,,Michael Lerma,ODL Team,29,2024-08-19T20:25:02.687000+00:00,2024-08-19T20:25:07.341000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208102286528084,Duplicate of Duplicate of ODL Evaluation Project,False,2024-08-20T17:30:19.342Z,,,Michael Lerma,ODL Team,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387266,Addressing AI in Assessment Workshop,False,2024-08-20T20:11:06.932Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387270,Semester Start Up - AI Day,False,2024-08-20T20:13:21.705Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387274,AI Office Hours,False,2024-08-20T20:14:01.692Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387278,AI Faculty Panel,False,2024-08-20T20:33:07.676Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387282,AI Dept / Campus Survey,False,2024-08-20T20:33:46.219Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387290,AI Exploration Hands On Workshop,False,2024-08-20T20:40:48.074Z,,,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208106677387294,AI-Assisted Class Prep,False,2024-08-20T20:41:19.687Z,,2024-11-08,Michael Lerma,AI Working Group Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208134694786942,Kaneb Center - Sprint Template,False,2024-08-23T16:31:37.008Z,2024-08-23,2024-10-08,Michael Lerma,Kaneb Center Team,4,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208228223654867,Capacity Planning,False,2024-09-04T16:36:20.097Z,,,Michael Lerma,ODL Team,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208255134985033,AR Math Visualizer (Summer 2025 Pilot),False,2024-09-09T02:16:48.851Z,,2026-05-29,Michael Lerma,ODL Team,11,2024-09-09T02:16:52.081000+00:00,2026-01-14T16:01:09.319000+00:00,492,,Production,In Progress,KC Frye,,2024-12-20T00:00:00.000Z,5h 00m,Design + Media Project,June 2024 - Dec 2024,,"XR Project (VR, AR, MR)",Yes,Brian Mulholland,S,M,,"KC Frye, Michael Lerma",,,,Math,In Progress,In Progress,,,,,,,,,Pilot,Up to date,,,Math,,,,0.00,5h 30m,0.00,9h 00m,,,,,,,,,,
1208255134985064,ODL Podcast,False,2024-09-09T14:52:49.338Z,,,Michael Lerma,ODL Team,31,2024-09-19T13:17:44.154000+00:00,2026-05-04T15:05:14.625000+00:00,592,,Production,In Progress,Ted Fox,,,1d 1h,Special Project,June 2024 - Dec 2024,,Special Project / Internal NDL Project,No,Jim Lang,Unique,,,"Matthew Simmons, Ted Fox",,,,ND Learning,,In Progress,,,,,,,,,,,,,ND Learning,,,,0.00,17h 10m,0.00,24h 00m,,,,,,,,,,
1208335646825701,Michael's PM Tasks,False,2024-09-18T00:32:04.245Z,,,Michael Lerma,ODL Team,27,2024-09-18T00:41:20.486000+00:00,2024-09-18T00:43:04.176000+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208335647365619,Virtual Borders,False,2024-09-18T01:26:13.746Z,,2026-08-31,Michael Lerma,ODL Team,52,2024-10-22T11:36:42.922000+00:00,2025-02-27T17:34:59.484000+00:00,128,,Design,In Progress,"Brianna Stines, KC Frye",,2025-09-30T00:00:00.000Z,5d 1h,Design + Media Project,June 2024 - Dec 2024,,"XR Project (VR, AR, MR)",Yes,,M,,,"Matthew Simmons, KC Frye, Michael Lerma, Brianna Stines",,,,,,In Progress,,,,,,,,,Pre-Production,Up to date,,,,,,,0.00,50h 15m,0.00,117h 00m,,,,,,,,,,
1208335647365682,Test,False,2024-09-18T17:21:31.750Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208337788268913,Preparation/Performance Analytics for FCTA Physics,False,2024-09-19T15:09:18.675Z,,,Michael Lerma,Learning Analytics Team,1,2024-09-19T15:09:36.679000+00:00,2024-09-19T15:09:36.679000+00:00,0,,,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208337788268930,Boosting Gen Chem & Intro to Engineering,False,2024-09-19T15:10:50.492Z,,,Michael Lerma,Learning Analytics Team,1,2024-09-19T15:11:21.175000+00:00,2024-09-19T15:11:21.175000+00:00,0,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208337788268947,AdvisorSync,False,2024-09-19T15:12:26.468Z,,,Michael Lerma,Learning Analytics Team,1,2025-05-06T14:47:43.801000+00:00,2025-05-06T14:47:43.801000+00:00,0,,,,,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208344673489500,MSAN Asset Spreadsheet,False,2024-09-18T18:45:40.727Z,,,KC Frye,ODL Team,27,2025-01-23T19:31:13.328000+00:00,2025-04-28T01:06:22.432000+00:00,95,,,In Progress,,,,1w 3d,Asset Spreadsheet,,,,,,,,,,,,,,,Asset Spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208470191495746,Vicki Testimonial,False,2024-10-03T18:26:21.837Z,,,Matthew Simmons,ODL Team,7,2024-10-11T13:08:57.529000+00:00,2024-11-15T17:42:37.622000+00:00,35,,Post-Production,In Progress,Matthew Simmons,,2024-11-08T00:00:00.000Z,,Media Only,June 2024 - Dec 2024,No report produced,Media Creation,No,n/a,XS,XS,,Matthew Simmons,,,,ND Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208502234940161,Connections Series Handout,False,2024-10-08T14:18:39.703Z,,,Ted Fox,ODL Team,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208544269339667,Reference Project,False,2024-10-14T18:32:51.732Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208712699269092,FINS (Research Video),False,2024-11-07T14:41:10.836Z,,,KC Frye,ODL Team,5,2025-03-24T16:34:36.536000+00:00,2025-06-11T15:51:49.228000+00:00,79,,,In Progress,,,,,,June 2024 - Dec 2024,,Media Creation,No,"Kylie Abrams, Michelle Sawaan",S,,,Matthew Simmons,,,,ND Learning,,Complete,,,,,,,,,,,,,ND Learning,,,,,,,,,,,,,,,,,
1208740211406775,ODL Project Estimations,False,2024-11-12T16:26:08.917Z,,,Michael Lerma,ODL Team,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
